title,price,rating,reviews,availability
"Apple EarPods Headphones with Lightning Connector. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds for iPhone",,4.6 out of 5 stars,"195,208 ratings",In Stock
"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",,4.5 out of 5 stars,"102,508 ratings",In Stock
"V8 Wireless Bluetooth Headphones Over Ear, 80 Hours Playtime Wireless Headphones with Deep Bass,Lightweight Foldable Headphones Built-in Mic,HiFi Stereo Sound for Travel Work Laptop PC Cellphone",,4.7 out of 5 stars,621 ratings,In Stock
"ELECDER i45 On-Ear Headphones with Microphone - Foldable Stereo Bass Headphones with No-Tangle 1.5M Cord, 3.5MM Jack, Portable Wired Headphones for School/Kids/Teens/Smartphones/Travel/Tablet - Blue",,4.6 out of 5 stars,"1,201 ratings",In Stock
"Apple EarPods Headphones with 3.5mm Plug. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds",,4.6 out of 5 stars,"62,548 ratings",In Stock
"phonicgrid SE7 Hybrid Active Noise Cancelling Headphones, Bluetooth Wireless Headphones, Over Ear Bluetooth Headphones with ENC Clear Calls, Deep Bass, Bluetooth 5.1, 30Hrs for Talk/Music/Work, Black",,4.8 out of 5 stars,492 ratings,In Stock
"Bluetooth Headphones Over Ear,BERIBES 65H Playtime and 6 EQ Music Modes Wireless Headphones with Microphone,HiFi Stereo Foldable Lightweight Headset, Deep Bass for Home Office Cellphone PC TV (White)",,4.5 out of 5 stars,"6,734 ratings",In Stock
"Beats Solo3 Wireless On-Ear Headphones - Apple W1 Headphone Chip, Class 1 Bluetooth, 40 Hours of Listening Time, Built-in Microphone - Black (Latest Model)",,4.7 out of 5 stars,"64,253 ratings",In Stock
"RORSOU R10 On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M No-Tangle Cord, Portable Wired Headphones for Smartphone Tablet Computer MP3 / 4 (Black)",,4.5 out of 5 stars,"6,397 ratings",In Stock
JBL Tune 510BT: Wireless On-Ear Headphones with Purebass Sound - Black,,4.6 out of 5 stars,"28,828 ratings",In Stock
"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",,4.5 out of 5 stars,"49,309 ratings",In Stock
"phonicgrid SE7 Hybrid Active Noise Cancelling Headphones, Bluetooth Wireless Headphones, Over Ear Bluetooth Headphones with ENC Clear Calls, Deep Bass, Bluetooth 5.1, 30Hrs for Talk/Music/Work, Black",,4.8 out of 5 stars,492 ratings,In Stock
"INFURTURE Rose Gold Active Noise Cancelling Headphones with Microphone Wireless Over Ear Bluetooth Headphones, Deep Bass, Memory Foam Ear Cups, Quick Charge 40H Playtime, for TV, Travel, Home Office",,4.4 out of 5 stars,"9,410 ratings",In Stock
Bose QuietComfort 45 Bluetooth Wireless Noise Cancelling Headphones - Triple Black,,4.6 out of 5 stars,"14,332 ratings",In Stock
"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",,4.5 out of 5 stars,"102,508 ratings",In Stock
"Apple EarPods Headphones with Lightning Connector. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds for iPhone",,4.6 out of 5 stars,"195,208 ratings",In Stock
